location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,topic
14460,"Boston-Cambridge-Newton, MA-NH",443,44,42.418,-71.064,0.09932279909706546,4844597,0.09082282798754986,collective_bargaining
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",98,15,42.91,-78.849,0.15306122448979592,1129660,0.13278331533381726,collective_bargaining
19380,"Dayton, OH",75,10,39.767,-84.146,0.13333333333333333,803713,0.12442252396066755,collective_bargaining
19820,"Detroit-Warren-Dearborn, MI",271,32,42.415,-83.157,0.11808118081180811,4321704,0.07404486748745402,collective_bargaining
21660,"Eugene, OR",89,9,44.038,-123.15,0.10112359550561797,375617,0.2396057686419944,collective_bargaining
22420,"Flint, MI",23,9,43.004,-83.693,0.391304347826087,407673,0.22076517208645166,collective_bargaining
33340,"Milwaukee-Waukesha-West Allis, WI",81,10,43.038,-87.937,0.12345679012345678,1575151,0.06348597689999246,collective_bargaining
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",285,23,44.966,-93.202,0.08070175438596491,3592669,0.06401925699250334,collective_bargaining
35300,"New Haven-Milford, CT",113,17,41.342,-72.909,0.1504424778761062,857794,0.19818278048109453,collective_bargaining
38300,"Pittsburgh, PA",181,19,40.416,-79.933,0.10497237569060773,2330283,0.08153516117999403,collective_bargaining
39300,"Providence-Warwick, RI-MA",118,11,41.774,-71.365,0.09322033898305085,1617057,0.06802481297814486,collective_bargaining
41180,"St. Louis, MO-IL",194,19,38.641,-90.227,0.0979381443298969,2805850,0.06771566548461251,collective_bargaining
41740,"San Diego-Carlsbad, CA",293,23,32.799,-117.146,0.07849829351535836,3325468,0.06916319748077564,collective_bargaining
41860,"San Francisco-Oakland-Hayward, CA",495,61,37.795,-122.321,0.12323232323232323,4710693,0.12949262454590016,collective_bargaining
42660,"Seattle-Tacoma-Bellevue, WA",265,24,47.568,-122.334,0.09056603773584905,3884469,0.06178450645377785,collective_bargaining
44140,"Springfield, MA",128,10,42.236,-72.588,0.078125,629506,0.1588547210034535,collective_bargaining
10580,"Albany-Schenectady-Troy, NY",145,14,42.724,-73.802,0.09655172413793103,882130,0.15870676657635496,education
14860,"Bridgeport-Stamford-Norwalk, CT",127,12,41.162,-73.408,0.09448818897637795,943457,0.1271918063038379,education
16620,"Charleston, WV",57,16,38.337,-81.64,0.2807017543859649,214398,0.7462756182427074,education
23180,"Frankfort, KY",61,26,38.187,-84.876,0.4262295081967213,73022,3.560570786886144,education
31540,"Madison, WI",109,13,43.073,-89.4,0.11926605504587157,654577,0.1986015396202433,education
36420,"Oklahoma City, OK",93,16,35.429,-97.506,0.17204301075268819,1383249,0.1156697022734157,education
38060,"Phoenix-Mesa-Scottsdale, AZ",196,37,33.433,-112.028,0.18877551020408162,4761694,0.07770343915421696,education
39580,"Raleigh, NC",95,11,35.782,-78.653,0.11578947368421053,1334342,0.08243763592842016,education
44140,"Springfield, MA",128,13,42.236,-72.588,0.1015625,629506,0.20651113730448953,education
46060,"Tucson, AZ",69,9,32.215,-110.981,0.13043478260869565,1027502,0.08759107038234476,education
46140,"Tulsa, OK",55,10,36.123,-95.965,0.18181818181818182,991610,0.10084609876866912,education
12300,"Augusta-Waterville, ME",58,9,44.378,-69.741,0.15517241379310345,121929,0.7381344881037324,environment
12740,"Barre, VT",68,17,44.257,-72.579,0.25,58283,2.916802498155551,environment
13980,"Blacksburg-Christiansburg-Radford, VA",27,14,37.198,-80.432,0.5185185185185185,182692,0.7663170801129771,environment
15540,"Burlington-South Burlington, VT",73,10,44.482,-73.196,0.136986301369863,218881,0.456869257724517,environment
20260,"Duluth, MN-WI",41,19,46.87,-92.175,0.4634146341463415,278659,0.6818369404899896,environment
24640,"Greenfield Town, MA",36,9,42.592,-72.58,0.25,70787,1.2714198934832668,environment
25420,"Harrisburg-Carlisle, PA",99,10,40.253,-76.917,0.10101010101010101,571101,0.17510037629070865,environment
35840,"North Port-Sarasota-Bradenton, FL",72,9,27.376,-82.534,0.125,805139,0.11178194075805543,environment
36500,"Olympia-Tumwater, WA",63,9,47.038,-122.895,0.14285714285714285,280289,0.3210971532953487,environment
38340,"Pittsfield, MA",54,19,42.361,-73.242,0.35185185185185186,126485,1.5021544056607503,environment
40220,"Roanoke, VA",38,13,37.246,-79.953,0.34210526315789475,313488,0.41468891951207065,environment
41420,"Salem, OR",75,12,44.943,-123.027,0.16,424968,0.2823742022928785,environment
41620,"Salt Lake City, UT",147,17,40.749,-111.898,0.11564625850340136,1205238,0.14105097914270875,environment
42200,"Santa Maria-Santa Barbara, CA",65,9,34.576,-119.979,0.13846153846153847,445606,0.20197214579695966,environment
44140,"Springfield, MA",128,13,42.236,-72.588,0.1015625,629506,0.20651113730448953,environment
54063,Monroe County,5,5,37.506,-80.568,1,13373,3.7388768413968445,environment
11260,"Anchorage, AK",64,10,61.275,-149.81,0.15625,400647,0.24959627802030218,executive
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",98,11,42.91,-78.849,0.11224489795918367,1129660,0.09737443124479932,executive
21660,"Eugene, OR",89,10,44.038,-123.15,0.11235955056179775,375617,0.2662286318244382,executive
24340,"Grand Rapids-Wyoming, MI",68,10,42.934,-85.759,0.14705882352941177,1060326,0.09431061767795942,executive
36540,"Omaha-Council Bluffs, NE-IA",71,14,41.242,-95.978,0.19718309859154928,932217,0.15017962555928502,executive
38860,"Portland-South Portland, ME",135,17,43.636,-70.287,0.1259259259259259,532280,0.3193807770346434,executive
39580,"Raleigh, NC",95,13,35.782,-78.653,0.1368421052631579,1334342,0.09742629700631472,executive
41620,"Salt Lake City, UT",147,16,40.749,-111.898,0.10884353741496598,1205238,0.1327538627225494,executive
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",480,91,38.916,-77.098,0.18958333333333333,6200001,0.1467741698751339,executive
10900,"Allentown-Bethlehem-Easton, PA-NJ",65,22,40.651,-75.385,0.3384615384615385,838081,0.2625044595928079,guns
14500,"Boulder, CO",75,23,40.032,-105.234,0.30666666666666664,324073,0.7097166379179999,guns
14860,"Bridgeport-Stamford-Norwalk, CT",127,31,41.162,-73.408,0.2440944881889764,943457,0.32857883295158125,guns
15980,"Cape Coral-Fort Myers, FL",36,16,26.596,-81.895,0.4444444444444444,739506,0.2163606515701022,guns
16700,"Charleston-North Charleston, SC",66,20,32.838,-79.959,0.30303030303030304,775089,0.25803488373593225,guns
19380,"Dayton, OH",75,17,39.767,-84.146,0.22666666666666666,803713,0.21151829073313483,guns
30460,"Lexington-Fayette, KY",60,17,38.038,-84.506,0.2833333333333333,512732,0.3315572267773418,guns
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",334,99,26.165,-80.183,0.2964071856287425,6149687,0.16098380291549796,guns
35840,"North Port-Sarasota-Bradenton, FL",72,16,27.376,-82.534,0.2222222222222222,805139,0.19872345023654303,guns
36540,"Omaha-Council Bluffs, NE-IA",71,26,41.242,-95.978,0.36619718309859156,932217,0.27890501889581504,guns
39900,"Reno, NV",52,18,39.52,-119.807,0.34615384615384615,461336,0.3901711550800284,guns
40060,"Richmond, VA",123,30,37.542,-77.447,0.24390243902439024,1292911,0.23203453292608694,guns
41420,"Salem, OR",75,18,44.943,-123.027,0.24,424968,0.4235613034393178,guns
42220,"Santa Rosa, CA",66,23,38.368,-122.688,0.3484848484848485,503246,0.45703294213962953,guns
14260,"Boise City, ID",67,6,43.619,-116.267,0.08955223880597014,710080,0.08449752140603875,healthcare
19380,"Dayton, OH",75,8,39.767,-84.146,0.10666666666666667,803713,0.09953801916853404,healthcare
23060,"Fort Wayne, IN",37,6,41.077,-85.132,0.16216216216216217,434001,0.13824852938126872,healthcare
25420,"Harrisburg-Carlisle, PA",99,7,40.253,-76.917,0.0707070707070707,571101,0.12257026340349605,healthcare
31140,"Louisville/Jefferson County, KY-IN",120,9,38.254,-85.737,0.075,1292809,0.06961585199360462,healthcare
41620,"Salt Lake City, UT",147,12,40.749,-111.898,0.08163265306122448,1205238,0.09956539704191206,healthcare
42540,"Scranton--Wilkes-Barre--Hazleton, PA",51,6,41.304,-75.805,0.11764705882352941,555645,0.10798261479901736,healthcare
10740,"Albuquerque, NM",95,23,35.092,-106.625,0.24210526315789474,912897,0.2519451811102457,immigration
11700,"Asheville, NC",76,16,35.532,-82.562,0.21052631578947367,455255,0.35145138438896883,immigration
12420,"Austin-Round Rock, TX",230,44,30.261,-97.747,0.19130434782608696,2115230,0.20801520402036658,immigration
12700,"Barnstable Town, MA",28,15,41.738,-70.274,0.5357142857142857,213482,0.702635350989779,immigration
15540,"Burlington-South Burlington, VT",73,15,44.482,-73.196,0.2054794520547945,218881,0.6853038865867754,immigration
21340,"El Paso, TX",80,44,31.729,-106.42,0.55,845145,0.52062072188796,immigration
24340,"Grand Rapids-Wyoming, MI",68,24,42.934,-85.759,0.35294117647058826,1060326,0.2263454824271026,immigration
25540,"Hartford-West Hartford-East Hartford, CT",119,24,41.738,-72.657,0.20168067226890757,1206719,0.1988864018880949,immigration
29740,"Las Cruces, NM",43,18,32.286,-106.752,0.4186046511627907,216186,0.8326163581360495,immigration
32580,"McAllen-Edinburg-Mission, TX",23,17,26.205,-98.245,0.7391304347826086,858323,0.19806063684650185,immigration
33340,"Milwaukee-Waukesha-West Allis, WI",81,24,43.038,-87.937,0.2962962962962963,1575151,0.15236634455998188,immigration
37100,"Oxnard-Thousand Oaks-Ventura, CA",43,15,34.243,-119.119,0.3488372093023256,850802,0.17630423999943584,immigration
38900,"Portland-Vancouver-Hillsboro, OR-WA",282,62,45.519,-122.701,0.2198581560283688,2456462,0.25239551843260755,immigration
39300,"Providence-Warwick, RI-MA",118,23,41.774,-71.365,0.19491525423728814,1617057,0.14223369986339382,immigration
39580,"Raleigh, NC",95,20,35.782,-78.653,0.21052631578947367,1334342,0.14988661077894572,immigration
40380,"Rochester, NY",67,17,43.103,-77.541,0.2537313432835821,1071589,0.15864291253456317,immigration
41740,"San Diego-Carlsbad, CA",293,60,32.799,-117.146,0.20477815699658702,3325468,0.18042573255854513,immigration
41940,"San Jose-Sunnyvale-Santa Clara, CA",156,35,37.353,-121.984,0.22435897435897437,1993582,0.17556338289571236,immigration
42200,"Santa Maria-Santa Barbara, CA",65,19,34.576,-119.979,0.2923076923076923,445606,0.42638564112691485,immigration
46060,"Tucson, AZ",69,23,32.215,-110.981,0.3333333333333333,1027502,0.22384384653265882,immigration
10580,"Albany-Schenectady-Troy, NY",145,13,42.724,-73.802,0.0896551724137931,882130,0.14737056896375816,police
17140,"Cincinnati, OH-KY-IN",75,12,39.178,-84.511,0.16,2179858,0.05504945734997417,police
27260,"Jacksonville, FL",117,12,30.254,-81.591,0.10256410256410256,1504841,0.07974264390723006,police
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",285,43,44.966,-93.202,0.15087719298245614,3592669,0.1196881761164193,police
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",408,41,39.954,-75.282,0.10049019607843138,6078451,0.06745139510049518,police
38060,"Phoenix-Mesa-Scottsdale, AZ",196,21,33.433,-112.028,0.10714285714285714,4761694,0.044101951952393414,police
38300,"Pittsburgh, PA",181,23,40.416,-79.933,0.1270718232044199,2330283,0.09870045827051907,police
40900,"Sacramento--Roseville--Arden-Arcade, CA",170,37,38.608,-121.446,0.21764705882352942,2320381,0.15945657200261507,police
41180,"St. Louis, MO-IL",194,47,38.641,-90.227,0.2422680412371134,2805850,0.1675071725145678,police
41860,"San Francisco-Oakland-Hayward, CA",495,37,37.795,-122.321,0.07474747474747474,4710693,0.0785447066917755,police
11460,"Ann Arbor, MI",90,15,42.272,-83.724,0.16666666666666666,369208,0.40627505362830707,race_confed
15540,"Burlington-South Burlington, VT",73,13,44.482,-73.196,0.1780821917808219,218881,0.593930035041872,race_confed
16820,"Charlottesville, VA",68,36,38.023,-78.487,0.5294117647058824,233586,1.541188256145488,race_confed
20500,"Durham-Chapel Hill, NC",126,64,35.943,-79.01,0.5079365079365079,566491,1.1297619909230685,race_confed
21660,"Eugene, OR",89,13,44.038,-123.15,0.14606741573033707,375617,0.3460972213717697,race_confed
25540,"Hartford-West Hartford-East Hartford, CT",119,16,41.738,-72.657,0.13445378151260504,1206719,0.13259093459206328,race_confed
27260,"Jacksonville, FL",117,30,30.254,-81.591,0.2564102564102564,1504841,0.19935660976807515,race_confed
32820,"Memphis, TN-MS-AR",84,26,35.126,-90.049,0.30952380952380953,1347576,0.19293902533140989,race_confed
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",285,51,44.966,-93.202,0.17894736842105263,3592669,0.14195574376598566,race_confed
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",134,21,36.098,-86.772,0.15671641791044777,1900584,0.1104923539291081,race_confed
35300,"New Haven-Milford, CT",113,16,41.342,-72.909,0.1415929203539823,857794,0.18652496986455958,race_confed
35380,"New Orleans-Metairie, LA",78,17,29.986,-90.095,0.21794871794871795,1270465,0.13380927455695354,race_confed
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",408,65,39.954,-75.282,0.15931372549019607,6078451,0.10693513857395576,race_confed
38300,"Pittsburgh, PA",181,30,40.416,-79.933,0.16574585635359115,2330283,0.12873972817893792,race_confed
38900,"Portland-Vancouver-Hillsboro, OR-WA",282,53,45.519,-122.701,0.1879432624113475,2456462,0.21575745930529355,race_confed
40060,"Richmond, VA",123,28,37.542,-77.447,0.22764227642276422,1292911,0.21656556406434782,race_confed
40900,"Sacramento--Roseville--Arden-Arcade, CA",170,43,38.608,-121.446,0.2529411764705882,2320381,0.18531439448952564,race_confed
41180,"St. Louis, MO-IL",194,54,38.641,-90.227,0.27835051546391754,2805850,0.19245504927205662,race_confed
41860,"San Francisco-Oakland-Hayward, CA",495,66,37.795,-122.321,0.13333333333333333,4710693,0.14010677409884278,race_confed
11260,"Anchorage, AK",64,5,61.275,-149.81,0.078125,400647,0.12479813901015109,supreme_court
12620,"Bangor, ME",26,3,44.814,-68.763,0.11538461538461539,151190,0.198425821813612,supreme_court
15540,"Burlington-South Burlington, VT",73,5,44.482,-73.196,0.0684931506849315,218881,0.2284346288622585,supreme_court
38860,"Portland-South Portland, ME",135,7,43.636,-70.287,0.05185185185185185,532280,0.1315097317201473,supreme_court
41620,"Salt Lake City, UT",147,7,40.749,-111.898,0.047619047619047616,1205238,0.05807981494111537,supreme_court
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",480,34,38.916,-77.098,0.07083333333333333,6200001,0.05483870083246761,supreme_court
49020,"Winchester, VA-WV",16,3,39.163,-78.165,0.1875,138107,0.21722287791350187,supreme_court
11260,"Anchorage, AK",64,13,61.275,-149.81,0.203125,400647,0.32447516142639277,women
11460,"Ann Arbor, MI",90,15,42.272,-83.724,0.16666666666666666,369208,0.40627505362830707,women
12740,"Barre, VT",68,11,44.257,-72.579,0.16176470588235295,58283,1.8873427929241802,women
21660,"Eugene, OR",89,14,44.038,-123.15,0.15730337078651685,375617,0.37272008455421346,women
29620,"Lansing-East Lansing, MI",77,14,42.73,-84.539,0.18181818181818182,480353,0.2914523277672878,women
30700,"Lincoln, NE",59,17,40.822,-96.688,0.288135593220339,331179,0.5133175714643743,women
36500,"Olympia-Tumwater, WA",63,11,47.038,-122.895,0.1746031746031746,280289,0.3924520762498707,women
42200,"Santa Maria-Santa Barbara, CA",65,11,34.576,-119.979,0.16923076923076924,445606,0.24685484486295067,women
44100,"Springfield, IL",41,11,39.786,-89.648,0.2682926829268293,209175,0.5258754631289589,women
44180,"Springfield, MO",49,14,37.21,-93.294,0.2857142857142857,462300,0.30283365779796667,women
