week,guns,immigration,women,race_confed,executive,collective_bargaining,education,environment,supreme_court,healthcare,police
2017-01-09,0,0,0,0,0,0,0,0,0,1,0
2017-01-16,0,0,428,3,19,0,0,1,0,1,0
2017-01-23,0,121,7,3,7,0,1,7,0,0,0
2017-01-30,0,121,1,1,30,0,2,5,0,6,1
2017-02-06,0,54,90,2,27,0,2,12,0,6,0
2017-02-13,0,110,3,11,30,1,4,10,1,5,2
2017-02-20,0,13,6,9,37,1,4,15,0,31,2
2017-02-27,2,20,9,9,114,3,6,8,0,4,3
2017-03-06,1,21,83,8,10,3,6,15,0,12,3
2017-03-13,0,22,3,8,11,9,15,13,1,22,2
2017-03-20,1,12,6,8,41,4,13,10,1,42,5
2017-03-27,3,16,7,5,14,4,3,8,2,3,4
2017-04-03,1,14,16,8,5,3,11,4,0,5,7
2017-04-10,2,7,11,2,103,3,6,4,0,1,2
2017-04-17,1,11,7,6,15,5,7,8,0,2,5
2017-04-24,3,10,10,17,14,12,3,74,0,3,2
2017-05-01,2,113,6,20,8,7,8,10,0,28,4
2017-05-08,1,5,3,9,14,3,16,8,0,31,10
2017-05-15,2,7,1,10,7,13,10,8,0,16,5
2017-05-22,1,5,1,14,3,10,4,5,0,1,4
2017-05-29,10,5,1,12,63,1,1,15,0,5,4
2017-06-05,0,10,2,3,4,6,7,4,0,5,4
2017-06-12,2,7,3,14,4,3,5,2,0,2,10
2017-06-19,1,7,3,14,6,6,2,4,0,17,5
2017-06-26,0,7,5,8,19,7,3,3,0,40,2
2017-07-03,3,6,2,11,3,1,0,3,0,43,3
2017-07-10,3,4,2,10,8,1,1,5,0,8,6
2017-07-17,0,10,1,4,6,4,11,4,0,15,5
2017-07-24,0,6,9,6,8,6,3,8,0,47,4
2017-07-31,1,7,1,6,6,3,1,7,0,0,3
2017-08-07,1,10,2,231,4,4,2,7,0,5,6
2017-08-14,0,15,2,194,21,4,2,5,0,3,5
2017-08-21,2,2,7,58,8,8,2,6,0,2,7
2017-08-28,0,31,2,27,7,4,3,4,0,7,11
2017-09-04,0,166,2,21,4,13,0,5,0,1,3
2017-09-11,1,23,4,29,4,8,8,14,0,1,14
2017-09-18,2,17,1,55,5,6,3,1,0,4,40
2017-09-25,1,13,14,79,6,6,12,5,1,14,47
2017-10-02,13,7,7,30,6,2,4,3,0,1,20
2017-10-09,5,6,12,29,4,5,10,6,0,1,18
2017-10-16,0,7,5,37,3,5,6,8,0,2,24
2017-10-23,0,4,10,17,5,8,6,14,0,1,7
2017-10-30,1,7,4,14,19,9,1,3,0,5,12
2017-11-06,1,9,3,14,6,8,2,4,0,2,9
2017-11-13,1,5,2,32,4,10,7,11,0,0,11
2017-11-20,0,9,0,13,4,3,0,2,0,0,11
2017-11-27,0,5,2,18,3,4,4,6,0,1,7
2017-12-04,1,25,4,7,4,9,5,8,0,0,1
2017-12-11,3,6,3,9,0,6,4,4,0,6,8
2017-12-18,1,10,0,1,2,2,2,2,0,0,3
2017-12-25,0,0,0,0,0,1,0,0,0,0,0
2018-01-01,1,2,1,2,0,1,2,1,0,1,0
2018-01-08,2,13,9,7,6,4,3,6,0,2,3
2018-01-15,2,23,270,89,17,4,2,3,0,1,5
2018-01-22,0,22,23,10,5,4,13,1,0,1,6
2018-01-29,2,11,3,15,8,4,15,6,0,3,6
2018-02-05,1,11,5,9,0,3,16,9,0,6,4
2018-02-12,29,9,8,14,3,6,21,9,0,5,5
2018-02-19,200,3,3,6,3,24,24,7,0,1,11
2018-02-26,49,14,5,9,2,25,15,7,0,3,7
2018-03-05,33,41,16,7,3,6,11,13,0,2,3
2018-03-12,1370,10,1,3,8,9,15,9,0,4,3
2018-03-19,586,5,6,11,2,5,18,1,0,0,8
2018-03-26,15,4,16,23,2,7,22,2,0,0,16
2018-04-02,14,12,4,10,0,4,31,4,0,1,9
2018-04-09,44,10,12,14,4,6,36,12,0,1,12
2018-04-16,438,11,10,28,0,6,18,6,0,4,12
2018-04-23,9,7,13,9,4,7,30,5,0,1,6
2018-04-30,18,25,3,15,2,6,7,4,0,10,7
2018-05-07,2,4,5,8,4,13,17,8,0,10,8
2018-05-14,9,5,1,8,1,5,11,11,0,2,3
2018-05-21,9,4,1,8,3,5,6,2,0,1,10
2018-05-28,38,27,2,9,1,7,6,1,0,1,4
2018-06-04,4,23,3,8,1,2,2,7,0,6,7
2018-06-11,14,74,3,5,2,13,3,8,0,1,4
2018-06-18,6,155,0,15,7,2,6,2,0,1,18
2018-06-25,3,665,6,10,14,16,1,6,1,2,12
2018-07-02,13,28,1,9,7,1,0,0,0,0,6
2018-07-09,4,25,2,5,12,16,0,8,11,3,8
2018-07-16,5,15,0,9,18,3,2,13,2,0,10
2018-07-23,7,20,2,5,14,12,1,5,2,0,5
2018-07-30,17,10,2,20,7,2,2,5,0,0,8
2018-08-06,5,16,4,19,1,10,3,5,0,2,11
2018-08-13,3,8,4,16,4,14,2,3,1,2,10
2018-08-20,3,8,5,16,24,12,10,6,19,1,13
2018-08-27,5,5,0,13,8,15,6,8,2,7,5
2018-09-03,2,3,2,15,12,24,2,25,8,4,11
2018-09-10,2,2,1,10,0,9,11,6,1,3,9
2018-09-17,4,7,25,12,24,9,5,8,13,7,9
2018-09-24,2,6,76,14,59,9,8,3,79,2,10
2018-10-01,1,11,105,18,91,18,10,3,110,0,12
2018-10-08,5,5,24,7,20,41,5,3,15,1,3
2018-10-15,2,4,10,9,3,9,7,4,1,1,7
2018-10-22,4,8,3,13,10,17,9,2,0,3,7
2018-10-29,7,4,20,8,12,6,3,8,0,6,4
2018-11-05,0,8,3,11,192,2,3,0,0,0,3
2018-11-12,3,4,4,11,2,9,7,4,0,1,4
2018-11-19,2,3,3,4,0,3,2,6,0,0,3
2018-11-26,0,13,0,9,2,4,5,2,0,2,5
2018-12-03,2,2,2,7,0,7,7,4,0,0,7
2018-12-10,5,11,1,3,0,14,5,9,0,0,3
2018-12-17,0,3,5,1,0,8,4,4,0,1,1
2018-12-24,0,3,0,2,2,0,1,1,0,0,2
2018-12-31,0,5,0,5,2,2,1,0,0,0,5
2019-01-07,4,8,11,13,26,4,2,7,0,1,14
2019-01-14,3,5,151,22,28,7,6,2,0,0,3
2019-01-21,5,7,34,81,18,9,11,5,0,1,4
2019-01-28,0,3,3,8,1,7,6,2,0,4,5
2019-02-04,1,8,3,11,1,7,4,6,0,5,7
2019-02-11,4,14,8,6,3,2,5,3,0,3,6
2019-02-18,3,114,8,13,5,7,11,2,0,3,4
2019-02-25,5,3,4,10,1,7,9,2,0,2,6
2019-03-04,5,2,14,11,4,11,20,4,0,5,11
2019-03-11,5,6,8,7,1,7,9,86,0,1,3
2019-03-18,7,6,9,8,4,9,10,4,0,2,7
2019-03-25,3,8,3,7,7,14,8,7,0,5,8
2019-04-01,6,9,10,9,35,3,14,7,0,2,8
2019-04-08,3,6,14,8,2,11,17,12,0,1,9
2019-04-15,3,4,10,6,2,15,20,16,0,1,4
2019-04-22,7,6,11,8,2,7,16,10,0,2,6
2019-04-29,2,29,12,23,3,19,17,7,0,2,13
2019-05-06,4,7,11,12,1,9,23,7,0,2,7
2019-05-13,3,5,17,10,3,10,22,10,0,1,9
2019-05-20,1,3,237,9,4,22,17,14,0,10,2
2019-05-27,4,1,8,4,3,12,6,6,0,4,2
2019-06-03,31,6,8,4,1,11,4,7,0,3,7
2019-06-10,4,4,7,7,40,17,9,5,0,4,8
2019-06-17,0,5,8,10,8,14,11,14,0,1,9
2019-06-24,0,25,3,4,2,18,8,6,0,0,4
2019-07-01,1,87,3,9,9,6,1,2,0,1,3
2019-07-08,2,200,4,8,12,5,1,13,0,4,7
2019-07-15,2,23,3,4,15,21,4,6,0,2,6
2019-07-22,3,15,0,11,11,11,2,6,0,1,6
2019-07-29,13,17,2,12,24,8,2,6,0,2,11
2019-08-05,43,21,2,14,10,5,1,4,0,0,11
2019-08-12,57,12,1,9,4,8,1,4,0,0,3
2019-08-19,6,9,7,10,4,13,3,11,0,1,6
2019-08-26,0,5,1,7,0,17,4,5,0,8,4
2019-09-02,1,5,3,3,1,10,5,4,0,0,9
