location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k
10420,"Akron, OH",32,3,41.12190625,-81.49028125,0.09375,704367,0.04259143315913437
10500,"Albany, GA",3,1,31.568333333333335,-84.05133333333333,0.3333333333333333,151293,0.06609691129133535
10540,"Albany, OR",4,2,44.61125,-123.0565,0.5,124977,0.16002944541795688
10580,"Albany-Schenectady-Troy, NY",145,14,42.72449655172414,-73.80160689655172,0.09655172413793103,882130,0.15870676657635496
10740,"Albuquerque, NM",95,5,35.09246315789474,-106.62495789473684,0.05263157894736842,912897,0.05477069154570559
10780,"Alexandria, LA",4,1,31.31475,-92.4365,0.25,153604,0.06510247128981017
10900,"Allentown-Bethlehem-Easton, PA-NJ",65,2,40.650984615384615,-75.38478461538462,0.03076923076923077,838081,0.02386404178116435
11180,"Ames, IA",13,2,42.021153846153844,-93.60815384615385,0.15384615384615385,97260,0.20563438206868187
11260,"Anchorage, AK",64,3,61.2748125,-149.810375,0.046875,400647,0.07487888340609064
11460,"Ann Arbor, MI",90,5,42.271588888888886,-83.7244,0.05555555555555555,369208,0.13542501787610237
11620,"Ardmore, OK",1,1,34.175,-97.263,1,48295,0.2070607723366808
11700,"Asheville, NC",76,4,35.53222368421053,-82.56243421052632,0.05263157894736842,455255,0.08786284609724221
12020,"Athens-Clarke County, GA",43,1,33.94927906976744,-83.36274418604651,0.023255813953488372,208997,0.04784757675947501
12060,"Atlanta-Sandy Springs-Roswell, GA",174,4,33.794454022988504,-84.40397701149425,0.022988505747126436,5874249,0.006809381080032528
12140,"Auburn, IN",1,1,41.522,-84.92,1,42822,0.23352482368875813
12260,"Augusta-Richmond County, GA-SC",21,1,33.522,-81.92738095238096,0.047619047619047616,600006,0.01666650000166665
12420,"Austin-Round Rock, TX",230,14,30.261165217391305,-97.74724347826087,0.06086956521739131,2115230,0.06618665582466209
12580,"Baltimore-Columbia-Towson, MD",159,12,39.22767924528302,-76.58943396226415,0.07547169811320754,2798587,0.04287878132786296
12740,"Barre, VT",68,4,44.25670588235294,-72.57854411764706,0.058823529411764705,58283,0.6863064701542474
12780,"Bartlesville, OK",1,1,36.733,-95.973,1,52016,0.1922485389111043
12820,"Bastrop, LA",1,1,32.756,-91.872,1,25687,0.38930198154708606
12940,"Baton Rouge, LA",29,2,30.445862068965518,-91.15379310344828,0.06896551724137931,831182,0.024062118765805805
12980,"Battle Creek, MI",19,1,42.29921052631579,-85.0661052631579,0.05263157894736842,134358,0.07442802066121854
13220,"Beckley, WV",13,4,37.82653846153846,-81.18,0.3076923076923077,118639,0.33715725857433054
13460,"Bend-Redmond, OR",22,4,44.070727272727275,-121.32068181818182,0.18181818181818182,186807,0.21412473836633533
13540,"Bennington, VT",13,1,42.97369230769231,-73.16315384615385,0.07692307692307693,35713,0.2800100803628931
13720,"Big Stone Gap, VA",4,1,36.95025,-82.66425000000001,0.25,57224,0.1747518523696351
13740,"Billings, MT",25,3,45.75528,-108.55080000000001,0.12,170740,0.1757057514349303
13980,"Blacksburg-Christiansburg-Radford, VA",27,2,37.198,-80.43162962962963,0.07407407407407407,182692,0.10947386858756815
14020,"Bloomington, IN",39,2,39.16825641025641,-86.52864102564102,0.05128205128205128,167513,0.11939371869645939
14140,"Bluefield, WV-VA",4,2,37.342,-81.13274999999999,0.5,100947,0.19812376791781827
14260,"Boise City, ID",67,6,43.61892537313433,-116.26655223880597,0.08955223880597014,710080,0.08449752140603875
14460,"Boston-Cambridge-Newton, MA-NH",443,35,42.41779232505643,-71.06360045146727,0.07900677200902935,4844597,0.07224543135373283
14500,"Boulder, CO",75,5,40.03181333333333,-105.23398666666667,0.06666666666666667,324073,0.1542862256343478
14540,"Bowling Green, KY",22,3,36.95759090909091,-86.46372727272727,0.13636363636363635,174962,0.17146580400315498
14580,"Bozeman, MT",30,3,45.705799999999996,-111.10503333333334,0.1,108656,0.27610072154321896
14720,"Breckenridge, CO",1,1,39.566,-106.056,1,31004,0.3225390272222939
14740,"Bremerton-Silverdale, WA",28,1,47.659214285714285,-122.58921428571429,0.03571428571428571,266550,0.03751641343087601
14820,"Brevard, NC",6,1,35.23533333333333,-82.72866666666667,0.16666666666666666,33825,0.29563932002956395
14860,"Bridgeport-Stamford-Norwalk, CT",127,12,41.162488188976376,-73.40778740157481,0.09448818897637795,943457,0.1271918063038379
15060,"Brookings, OR",9,1,42.24755555555556,-124.34566666666667,0.1111111111111111,22676,0.44099488445934026
15220,"Brownwood, TX",1,1,31.709,-98.991,1,37870,0.2640612622128334
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",98,2,42.909806122448984,-78.84855102040817,0.02040816326530612,1129660,0.017704442044508967
15420,"Burley, ID",2,2,42.536,-113.793,1,44493,0.4495089115141708
15500,"Burlington, NC",16,1,36.0808125,-79.4100625,0.0625,163529,0.06115123311461576
15540,"Burlington-South Burlington, VT",73,2,44.48183561643835,-73.196,0.0273972602739726,218881,0.09137385154490339
15980,"Cape Coral-Fort Myers, FL",36,1,26.59627777777778,-81.89525,0.027777777777777776,739506,0.013522540723131388
16049,Idaho County,1,1,46.145,-115.978,1,16373,0.6107616197398156
16180,"Carson City, NV",12,3,39.164,-119.767,0.25,54608,0.5493700556694989
16620,"Charleston, WV",57,16,38.33705263157895,-81.63950877192983,0.2807017543859649,214398,0.7462756182427074
16700,"Charleston-North Charleston, SC",66,3,32.83789393939394,-79.95877272727273,0.045454545454545456,775089,0.03870523256038984
16740,"Charlotte-Concord-Gastonia, NC-SC",96,4,35.21688541666666,-80.85427083333333,0.041666666666666664,2524863,0.01584244372863003
16820,"Charlottesville, VA",68,1,38.02251470588236,-78.48704411764706,0.014705882352941176,233586,0.04281078489293022
16980,"Chicago-Naperville-Elgin, IL-IN-WI",420,16,41.91376904761905,-87.83079761904762,0.0380952380952381,9520784,0.01680533872000457
